t,theta1,theta_dot1,theta2,theta_dot2
7.2,0.9495915907557442,-0.357194653591724,1.2246647133151953,0.580611877361589
7.3,0.9090171721660326,-0.4537099257867755,1.2762103817165733,0.44811874556922154
7.4,0.8590025571840436,-0.5456366636213742,1.3139004006293837,0.3039758278065948
7.5,0.8001140504443337,-0.6308447072580122,1.3367055508986474,0.15080759920620906
7.6,0.7331214792635563,-0.7074315416374792,1.3438269513852277,-0.009425640806735771
7.7,0.6589647818127042,-0.7739260233879804,1.334636772238487,-0.17514902895682305
7.8,0.5787039783338134,-0.8294085374276521,1.3086852912251716,-0.3441608915024221
7.9,0.49346260517567614,-0.8735215599544712,1.2658300731725407,-0.5123128604736622
8,0.40437479089335526,-0.906393131526274,1.2064751919564887,-0.6728336307875182
8.1,0.3125424550214838,-0.9285184534067953,1.1317929048291573,-0.8175244088837489
8.2,0.21900484230969125,-0.9406357235760886,1.0437216340376565,-0.939828949625856
8.3,0.12472005823545294,-0.9436113172659496,0.9446569672512439,-1.0373771939523848
8.4,0.030557538364763354,-0.9383357514124402,0.8370215016473368,-1.1117212389561193
8.5,-0.06269958882260794,-0.9256300400916594,0.7229765671123243,-1.1661393508142293
8.6,-0.15434341452086267,-0.9061655399634334,0.6043525610750686,-1.2037582702433602
8.7,-0.2437230184257158,-0.8804021680902293,0.4827078979330944,-1.2268627071775744
8.8,-0.33022114972730743,-0.8485487997560439,0.35941136782865146,-1.2370156841605153
8.9,-0.4132281299566907,-0.8105472733983616,0.23569581674135973,-1.235436541519524
9,-0.4921153782059513,-0.7660815094191127,0.1126759107182468,-1.2233047187383974
9.1,-0.5662112760547319,-0.7146161241075466,-0.008654734417704146,-1.2018603738844282
9.2,-0.6347827120094759,-0.6554732079420978,-0.1274261903755327,-1.17230881066279
9.3,-0.6970266710978158,-0.5879581989221022,-0.24287899594907789,-1.1356169212651577
9.4,-0.7520771765680444,-0.5115409416363682,-0.3543295446723742,-1.0923036933081023
9.5,-0.7990327456471067,-0.42608117007339236,-0.46111709549319524,-1.042288375115437
9.6,-0.837007101622471,-0.33205890263913146,-0.5625393357037897,-0.9848136588128971
9.7,-0.8652003540358431,-0.23073908231665996,-0.6577840083697998,-0.918444443277073
9.8,-0.882979872405064,-0.12418945275645596,-0.7458648370454403,-0.8411613751995919
9.9,-0.8899533765036198,-0.015103366871267598,-0.8255737508578519,-0.7506057854145536
10,-0.8860152116142325,0.0935476539206121,-0.8954686277954937,-0.6445582992876756
10.1,-0.8713533354571337,0.1989311650841056,-0.9539229313501171,-0.52169804010226
10.2,-0.8464165970702344,0.29871003037912225,-0.9992618209771745,-0.38253374662184186
10.3,-0.8118537204765779,0.3912415253774616,-1.0299854924002563,-0.23013344502719213
10.4,-0.7684414824063143,0.47559758334984964,-1.0450328802254112,-0.07011829200306802
10.5,-0.7170180774134673,0.5514517055152163,-1.043993945114144,0.09035876098671183
10.6,-0.6584314056337767,0.6189063726922992,-1.0271811788236704,0.24429348669265344
10.7,-0.5935048551336548,0.6783235210669515,-0.9955341038911266,0.386344351824198
10.8,-0.5230183676942645,0.7301917811098375,-0.9504110132472006,0.5135059606396806
10.9,-0.4477005715796365,0.7750372152387707,-0.8933609752984422,0.6248712761375932
11,-0.3682279788341798,0.8133693888390903,-0.8259484276785912,0.7209069047500286
11.1,-0.28522832706380563,0.845650350669814,-0.7496536221378911,0.8027262448060437
11.2,-0.19928632509481342,0.8722762151084249,-0.6658342075178361,0.8716126523564659
11.3,-0.11095088779663473,0.8935650639561118,-0.5757207123988963,0.9288072919430408
11.4,-0.020743402997365046,0.9097480139683541,-0.4804239625524167,0.9754630814910152
11.5,0.07083318946793525,0.9209616695861804,-0.38094339583506875,1.012657674814502
11.6,0.16328454625028996,0.9272401050701904,-0.2781741098533037,1.0413988272800465
11.7,0.25611419975690536,0.9285040383826827,-0.17291473200715468,1.0626025850052658
11.8,0.34881141237074537,0.9245445543315187,-0.06587846025414526,1.0770546357938584
11.9,0.44083717680047085,0.9150009112819842,0.04229192896110998,1.0853720417706487
12,0.5316077320693401,0.8993346886744366,0.15100567753473595,1.0879739409669977
12.1,0.6204756750074901,0.8768086101981514,0.25970305912396696,1.0850578248665637
12.2,0.7067097223073097,0.8464850210369461,0.36783187736637124,1.0765710845374472
12.3,0.7894762063790594,0.8072649609625924,0.47482046865972577,1.062168481052859
12.4,0.867827391983515,0.7579887100515507,0.5800456597519238,1.0411547156335568
12.5,0.9407033673942744,0.6976060785882906,0.6827947515293902,1.0124263329664402
12.6,1.006953692210853,0.6253941028902702,0.7822230159964927,0.9744477697614966
12.7,1.0653806902027338,0.5411587678242981,0.877312794816739,0.9253183602820602
12.8,1.1147984706591783,0.4453334832112727,0.9668466534802785,0.8629964633680016
12.9,1.154093856411632,0.3389143374238631,1.0494124698284093,0.7857130915037249
13,1.1822732113991272,0.2232551151016856,1.1234569028088677,0.6925010663900579
13.1,1.198486203603101,0.09983506045231685,1.1873887251328759,0.5836141651309784
13.2,1.2020311106353567,-0.029855548716055433,1.2397064271967573,0.4605553840778508
13.3,1.1923590324767195,-0.1642142793895838,1.2791037909349312,0.32561847692495144
13.4,1.1690992250139873,-0.3012163377577194,1.3045142298154333,0.18118897226286904
13.5,1.1321208366900832,-0.43803078493694214,1.315091706805682,0.02924871987525563
13.6,1.0816262149176326,-0.5708244604697267,1.3101676290751172,-0.1285730913921014
13.7,1.018241638418225,-0.6950511808445579,1.2892442617925661,-0.2903339167105663
13.8,0.9430496149094018,-0.8063107991792604,1.252076775336134,-0.4527408546314859
13.9,0.857520614860337,-0.9013992976454325,1.19885322560415,-0.6103688869659593
14,0.763358047106718,-0.9788941794862634,1.1304005034685707,-0.7560814802727531
14.1,0.6623234947234641,-1.0389688605378264,1.0482631318200493,-0.88311235779382
14.2,0.5561078132414023,-1.0827477413083646,0.9545346588992246,-0.987577265627699
14.3,0.4462679823555127,-1.1117057376778856,0.8515091626608099,-1.0692793723353822
14.4,0.33421031369844784,-1.1273524075856027,0.7413644976289889,-1.1304263555381509
14.5,0.2211924488468814,-1.131149185945064,0.6260145966945203,-1.1738344048389113
14.6,0.10832830183149232,-1.1245089171484908,0.5071084907522635,-1.2018942255662994
14.7,-0.0034061434509845036,-1.1087675950459428,0.38608767452545745,-1.2163834198585204
14.8,-0.11316124775898453,-1.085097687388746,0.2642376669227295,-1.2186936331797247
