t,theta1,theta_dot1,theta2,theta_dot2
11.5,0.08379360850429578,0.7650111322738473,2.392304161938396,0.6554235952036555
11.6,0.16042232522575914,0.7526047201075327,2.4551433068818675,0.5928360773449817
11.7,0.23533573724383583,0.7325933384422767,2.5119333965420894,0.5341885077351727
11.8,0.3077577769472823,0.7053149471871486,2.563023222103678,0.479199179271041
11.9,0.37696421930701457,0.671212639091614,2.6087429737205015,0.42756967826573467
12,0.44229316401224705,0.6308128304555956,2.6494016223396826,0.37899505244946147
12.1,0.5031514886294852,0.5847014495985897,2.685284794653469,0.3331702563654646
12.2,0.5590175076182793,0.5335002667195851,2.716653125281384,0.2897939396892125
12.3,0.6094404547714343,0.47784525689037805,2.7437410411223446,0.24857040732601682
12.4,0.6540376224396705,0.4183684517112365,2.766755914729818,0.20921036573749008
12.5,0.6924900420862492,0.35568420595339145,2.7858775157362614,0.17143089290585434
12.6,0.7245375118745885,0.29038027263647026,2.80125768906521,0.13495493194322142
12.7,0.7499736199363417,0.22301362039063297,2.813020195717478,0.09951050316248092
12.8,0.7686412338508974,0.15411057435954703,2.821260659130428,0.06482976167515524
12.9,0.780428759676552,0.0841706099343498,2.8260465700042587,0.03064797450233539
13,0.7852673387499494,0.013672986334607853,2.8274173140527337,-0.0032975401010081075
13.1,0.7831290623941677,-0.056914641981882806,2.8253841973524962,-0.03726848862998162
13.2,0.7740262385818243,-0.12712654389733896,2.8199304547086537,-0.07152668217701927
13.3,0.7580117160709376,-0.19648905404156702,2.8110112372311984,-0.10633511748199392
13.4,0.7351802640789181,-0.2645114410512721,2.7985535852354877,-0.14195905039763773
13.5,0.7056709872889375,-0.33067840088936096,2.7824564025819933,-0.17866705134867925
13.6,0.6696707186069925,-0.39444506143277736,2.7625904599177478,-0.2167320172255072
13.7,0.6274182599339416,-0.4552353414467756,2.738798465217337,-0.2564320909086413
13.8,0.5792092231848203,-0.5124443957154089,2.7108952497954277,-0.29805140500362787
13.9,0.5254010719035721,-0.5654456684454555,2.678668129001638,-0.3418805144760815
14,0.46641778208315376,-0.6136027884104123,2.641877502682449,-0.38821630300499776
14.1,0.4027533690268744,-0.6562860804177834,2.60025776786038,-0.4373610411433385
14.2,0.3349734197277686,-0.6928930011607721,2.553518614784996,-0.4896201229511348
14.3,0.26371375214180115,-0.7228712289699409,2.501346764151576,-0.5452978334872222
14.4,0.1896754823470027,-0.7457426642077669,2.443408188347155,-0.6046902701232075
14.5,0.11361610007095899,-0.7611262721053227,2.3793508246736006,-0.6680743026642983
14.6,0.036336616655161316,-0.7687575977915879,2.308807755345381,-0.7356912359785267
14.7,-0.04133461089086082,-0.7685029681511508,2.23140080485015,-0.8077236814731898
14.8,-0.11856026976838012,-0.7603668700646716,2.146744522058096,-0.8842642250257212
14.9,-0.19451322651287703,-0.744491700710754,2.0544506412052956,-0.965274902925871
15,-0.26839481613526284,-0.7211499172773828,1.954133423381359,-1.0505374816984736
15.1,-0.33945083235111195,-0.6907294413524481,1.8454168440598617,-1.1395963001508287
15.2,-0.406984139432595,-0.6537138660543329,1.7279454338239828,-1.2316980873629508
15.3,-0.47036333597781216,-0.6106594711712908,1.6014015460856883,-1.3257366503179888
15.4,-0.5290274390646836,-0.5621712200594726,1.4655325134691395,-1.4202139473986835
15.5,-0.5824870154245412,-0.5088797965209677,1.3201908772333095,-1.5132316934847376
15.6,-0.6303224962027162,-0.4514213935714623,1.1653888397569887,-1.6025274485530536
15.7,-0.6721805501825313,-0.3904214754023939,1.0013639789731825,-1.6855643862709606
15.8,-0.7077693766407694,-0.3264831960907583,0.8286477431482164,-1.759674362243111
15.9,-0.736853662210073,-0.26018065226573184,0.6481228297236116,-1.8222410161628937
16,-0.7592497664438209,-0.19205672177102373,0.46105307844612464,-1.8708988847034305
16.1,-0.7748215320476998,-0.12262494601642873,0.2690713951938969,-1.903720368305114
16.2,-0.7834769521846034,-0.052374709543864494,0.0741180650245353,-1.9193668993713429
16.3,-0.785165819913163,0.01822112156146278,-0.12166799170458967,-1.9171906394046412
16.4,-0.7798784159593275,0.08869699290171494,-0.3160903738266795,-1.8972820390800467
16.5,-0.767645252596499,0.15858478813897514,-0.5070463252800371,-1.8604633127051733
