t,theta1,theta_dot1,theta2,theta_dot2
3.5,-0.7803484620840738,-0.0762937649536499,-0.9357647615708158,-1.753421293793856
3.6,-0.7850975873248487,-0.018638176731636737,-1.1075994554226056,-1.6817393485298697
3.7,-0.7840721349044503,0.039136316856758196,-1.2718369952688353,-1.601789108212997
3.8,-0.7772786489893821,0.09666098387386583,-1.4277444373049302,-1.5154518309100704
3.9,-0.7647605815602616,0.15356618034796407,-1.5747766442302118,-1.42458898150473
4,-0.7465984448326111,0.20948017868248525,-1.7125705122181711,-1.3309687359746354
4.1,-0.7229100611207163,0.26402842499569706,-1.8409326079044734,-1.2362080762804728
4.2,-0.6938508563026476,0.3168334556514546,-1.959821859268992,-1.1417318553724631
4.3,-0.6596141203634808,0.3675156583977337,-2.0693289911849213,-1.0487484416159472
4.4,-0.6204311437725608,0.4156950185098406,-2.169654294288401,-0.9582402102346496
4.5,-0.5765711253522547,0.46099392754391655,-2.2610850706872534,-0.8709663342390948
4.6,-0.528340748341003,0.503041041492129,-2.3439738497569937,-0.7874749539134434
4.7,-0.4760833187975934,0.5414761288436712,-2.4187181798769055,-0.7081217777713253
4.8,-0.4201773783156621,0.5759557428585982,-2.485742484550525,-0.6330924832992397
4.9,-0.36103471256405767,0.6061595126622394,-2.545482250035026,-0.5624267128385534
5,-0.2990977143065264,0.6317967412038145,-2.5983706234479143,-0.496041921913403
5.1,-0.23483608908100204,0.6526129822968639,-2.644827332945422,-0.4337558573107815
5.2,-0.16874291264352315,0.6683962553340548,-2.685249752408929,-0.3753068641718158
5.3,-0.1013301042917302,0.6789825296958966,-2.720005869071652,-0.3203715875681835
5.4,-0.03312339844446918,0.6842601595994574,-2.74942888382155,-0.2685799184095807
5.5,0.03534306147162145,0.6841729921013466,-2.7738131700235895,-0.2195272414290823
5.6,0.1035323645641166,0.6787219575436959,-2.7934113301457253,-0.17278418577614876
5.7,0.1709105524705626,0.6679650431465914,-2.8084321144387556,-0.1279041694436461
5.8,0.2369522559713837,0.6520156510158801,-2.8190389979069903,-0.0844290806077605
5.9,0.30114609181349206,0.6310394417455069,-2.825349247543225,-0.04189346404286446
6,0.3629996740960254,0.6052498634823461,-2.827433349142622,0.000172410797252609
6.1,0.4220441246576589,0.5749026385658553,-2.825314700698759,0.0422402237298129
6.2,0.47783799359714063,0.5402895346684852,-2.81896951686897,0.08478164680470263
6.3,0.5299705360698143,0.5017317750965905,-2.808326926092284,0.12826638566650478
6.4,0.5780643272233815,0.4595734433331071,-2.7932692791464167,0.1731598490008056
6.5,0.6217772307584997,0.4141752160102736,-2.7736327248384702,0.21992007276960163
6.6,0.6608037682838359,0.3659087119183398,-2.749208146216946,0.26899352307123436
6.7,0.6948759651449532,0.3151516742450225,-2.7197425882705715,0.32080940097103783
6.8,0.7237637637023344,0.26228414307480763,-2.684941345452256,0.37577208130549944
6.9,0.7472751059902432,0.2076856818162345,-2.6444709130757684,0.4342513426537646
7,0.7652557910033899,0.15173366617903022,-2.597963038577051,0.49657009782765643
7.1,0.7775892108661723,0.09480255305859903,-2.5450201335248637,0.5629894252895352
7.2,0.7841960587299712,0.037263988663623425,-2.4852223205473885,0.6336908452533178
7.3,0.7850340819244556,-0.020512433153940617,-2.4181363851293263,0.7087559928800709
7.4,0.7800979327827335,-0.07815798762049575,-2.343326873434618,0.7881441253768267
7.5,0.769419148962889,-0.13530346652346645,-2.26036951607481,0.8716682641232887
7.6,0.753066266433133,-0.19157792109866068,-2.168867056297921,0.9589712104939294
7.7,0.7311450429218487,-0.24660775397423326,-2.068467413074881,1.0495031618156938
7.8,0.7037987446790688,-0.30001640092693793,-1.9588839119644843,1.1425031473409706
7.9,0.67120842693896,-0.35142480091726647,-1.8399170720425888,1.2369869332052135
8,0.6335931211636353,-0.4004528145890203,-1.7114771571154885,1.3317443145299304
8.1,0.5912098279901983,-0.44672168649136895,-1.573606410089756,1.4253487336637338
8.2,0.544353212342315,-0.48985756751348175,-1.4264995932205888,1.5161817803922302
8.3,0.4933548934791652,-0.5294960572134311,-1.2705212676131772,1.6024742692857492
8.4,0.4385822365973773,-0.5652876313835572,-1.106218095196129,1.6823642531108862
8.5,0.3804365607748733,-0.5969037675079095,-0.9343245635066567,1.7539706374655066
8.6,0.31935071587385927,-0.6240434707340382,-0.7557606925601859,1.8154789481834772
8.7,0.2557859988286003,-0.6464398991565175,-0.5716207779056002,1.865233720146315
8.8,0.19022841639876187,-0.6638667340123754,-0.38315285985565345,1.901830358401304
8.9,0.12318433833402548,-0.6761439387219667,-0.19172936995616258,1.9241983658594146
9,0.05517561802288416,-0.6831425651357018,0.0011897754720049183,1.931667863116088
9.1,-0.01326570571599871,-0.6847883131015282,0.19409960425098038,1.9240125202478569
9.2,-0.08160299024890653,-0.681063626066133,0.38549542735756537,1.9014642828792323
9.3,-0.14930070099447967,-0.6720081921203501,0.5739181584460797,1.8646982789410167
9.4,-0.2158300948450378,-0.6577178158378478,0.7579966875881935,1.8147895659482156
9.5,-0.2806747091591035,-0.638341733208638,0.9364847056273732,1.7531463653648471
9.6,-0.34333551173803833,-0.6140785384948506,1.1082899575453062,1.681426676636393
9.7,-0.4033355843914969,-0.5851709732538077,1.272494661096362,1.6014463471824911
9.8,-0.4602242413809083,-0.5518998900379278,1.4283666455256763,1.5150867215701198
9.9,-0.5135805176082626,-0.5145777392532026,1.5753615380249983,1.4242090207426388
10,-0.5630159968159671,-0.4735419370941995,1.7131169607499213,1.3305809068363519
10.1,-0.6081769839268392,-0.42914846147534647,1.8414401440206147,1.2358186447901183
10.2,-0.6487460614131872,-0.3817659719368887,1.960290602624434,1.1413462380168653
10.3,-0.684443094789219,-0.33177070535336023,2.06975956060572,1.0483711328577574
10.4,-0.7150257749783635,-0.2795423157879775,2.1700477023172047,0.957874777923885
10.5,-0.7402897956016955,-0.22546075636485008,2.2614426410923913,0.8706154549657905
10.6,-0.7600687708364833,-0.16990423337706453,2.344297137324325,0.7871404674942217
10.7,-0.774233999988879,-0.11324817085069744,2.4190088859894248,0.7078047750569848
10.8,-0.7826941765272898,-0.05586506563202501,2.486002384862818,0.6327934087040561
10.9,-0.7853951192011874,0.0018749407999621992,2.54571313656595,0.5621454610251779
11,-0.7823195864368723,0.05960298813311024,2.598574254137136,0.4957779335969396
11.1,-0.7734872134796448,0.11695017106922195,2.6450053907024067,0.43350820742250373
11.2,-0.7589545836532635,0.1735462233247986,2.685403812584471,0.37507433997063716
11.3,-0.7388154204590629,0.22901846935245868,2.7201373741702426,0.3201527556341772
11.4,-0.7132008603858664,0.28299129217136154,2.749539124327606,0.26837318036150704
11.5,-0.6822797441544021,0.33508632875715266,2.7739032702480793,0.21933087889953223
11.6,-0.6462588443845715,0.38492357083443546,2.7934822380680315,0.1725963956945994
11.7,-0.6053829326354158,0.432123482626502,2.8084845946478896,0.12772309092601988
11.8,-0.559934582384577,0.4763101837156838,2.81907362687176,0.08425281494643003
11.9,-0.5102336008869365,0.5171156710880791,2.8253664105991874,0.041720089332852595
12,-0.45663599117593406,0.5541849816269266,2.8274332387372336,-0.00034482884719335555
12.1,-0.3995323539328292,0.5871821228409904,2.8252973155910506,-0.04241362326141545
12.2,-0.3393456749927526,0.6157964944774932,2.818934662124605,-0.08495796201478412
12.3,-0.2765284538832517,0.6397495238366756,2.8082742139116097,-0.128447538291761
12.4,-0.21155917553354822,0.6588011556393821,2.7931981306126454,-0.17334773744131138
12.5,-0.144938151765072,0.6727558496087387,2.7735423729503133,-0.2201165574170254
12.6,-0.07718280261145223,0.6814677274387168,2.7490976406430483,-0.26920040622455293
12.7,-0.00882248031949398,0.6848445607621844,2.719610802447877,-0.32102839984079184
